"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"18718",403,"4","",3,"","",""
"18673",386,"641","",3,"","",""
"18672",386,"606","",3,"","",""
"18671",386,"602","",3,"","",""
"18663",386,"607","",3,"","",""
"18662",386,"603","",3,"","",""
"18661",386,"601","",3,"","",""
"18646",386,"604","",3,"","",""
"18631",386,"600","",3,"","",""
"18546",396,"669","",3,"","",""
"18466",386,"605","",3,"","",""
"18082",615,"672","",3,"","",""
"13052",152,"447","",3,"","",""
"13051",152,"446","",3,"","",""
"13050",152,"445","",3,"","",""
"12527",615,"690","",3,"","",""
"12526",615,"688","",3,"","",""
"12525",615,"686","",3,"","",""
"12524",615,"685","",3,"","",""
"12523",615,"680","",3,"","",""
"12521",615,"676","",3,"","",""
"12519",615,"674","",3,"","",""
"12518",615,"673","",3,"","",""
"12516",615,"671","",3,"","",""
"12515",615,"670","",3,"","",""
"12514",615,"663","",3,"","",""
"12513",615,"662","",3,"","",""
"12511",615,"651","",3,"","",""
"12510",615,"650","",3,"","",""
"12508",615,"642","",3,"","",""
"12507",615,"641","",3,"","",""
"12506",615,"640","",3,"","",""
"12505",615,"632","",3,"","",""
"12503",615,"630","",3,"","",""
"12502",615,"624","",3,"","",""
"12501",615,"622","",3,"","",""
"12500",615,"621","",3,"","",""
"12499",615,"620","",3,"","",""
"12498",615,"613","",3,"","",""
"12497",615,"612","",3,"","",""
"12496",615,"611","",3,"","",""
"12495",615,"X610","",3,"","",""
"68442",138,"111","",3,"","",""
"66808",66,"S8","",3,"","",""
"66807",66,"S7","",3,"","",""
"66806",66,"S6","",3,"","",""
"66805",66,"S5","",3,"","",""
"66804",66,"S4","",3,"","",""
"66803",66,"S3","",3,"","",""
"66802",66,"S2","",3,"","",""
"66801",66,"S1","",3,"","",""
"43767",66,"5","",3,"","",""
"35662",66,"6","",3,"00ccff","",""
"35661",66,"3","",3,"00cc00","ffffff",""
"35660",66,"2","",3,"ffcc00","",""
"35659",66,"1","",3,"ff0000","",""
"33797",66,"8","",3,"","",""
"14111",66,"4","",3,"ff6600","ffffff",""
"72707",969,"349","",2,"","",""
"72623",1060,"EV29A","",2,"","",""
"72522",2506,"LEER","",1,"","",""
"72436",1060,"EV26A","",1,"","",""
"72265",1060,"EV6AA","",1,"","",""
"71437",1060,"EV28A","",1,"","",""
"71354",607,"EV","",2,"","",""
"71351",607,"EV","",2,"","",""
"71350",810,"EV","",2,"","",""
"71348",2506,"EV","",1,"","",""
"71342",1917,"EV","",2,"","",""
"71338",795,"EV","",2,"","",""
"71333",606,"EV","",2,"","",""
"71318",605,"EV","",2,"","",""
"71302",1655,"EV","",2,"","",""
"70661",1689,"RE86","",2,"","",""
"68624",607,"RB76","",2,"","",""
"68579",607,"RB84","",2,"","",""
"68486",607,"RE83","",2,"","",""
"68279",605,"RS30","",1,"","",""
"68278",605,"RS6","",1,"","",""
"68272",1689,"RE80","",2,"","",""
"68261",1689,"RE8","",2,"","",""
"68247",1689,"RB86","",2,"","",""
"68246",1689,"RB85","",2,"","",""
"68245",1689,"RB81","",2,"","",""
"68197",1322,"43","",2,"","",""
"68191",1322,"20","",2,"","",""
"68179",1689,"8X","",2,"","",""
"66134",2156,"RE82","",2,"","",""
"66133",2156,"RE78","",2,"","",""
"66130",2156,"RE3","",2,"","",""
"66129",2155,"RB89","",2,"","",""
"66128",2155,"RB73","",2,"","",""
"66127",2155,"RB72","",2,"","",""
"66126",2155,"RB71","",2,"","",""
"66125",2155,"RB69","",2,"","",""
"66124",2155,"RB67","",2,"","",""
"66123",2155,"RB66","",2,"","",""
"66122",2155,"RB65","",2,"","",""
"66121",2155,"RB59","",2,"","",""
"66120",2155,"RB50","",2,"","",""
"65205",2155,"RB61","",2,"","",""
"63224",2505,"RB79","",2,"","",""
"63223",2505,"RB77","",2,"","",""
"63221",2505,"RB38","",2,"","",""
"63220",2505,"RB37","",2,"","",""
"62976",2506,"S51","",1,"","",""
"62975",2506,"S21","",1,"","",""
"62974",2506,"S7","",1,"","",""
"62973",2506,"S6","",1,"","",""
"62972",2506,"S5","",1,"","",""
"62971",2506,"S4","",1,"","",""
"62970",2506,"S3","",1,"","",""
"62969",2506,"S2","",1,"","",""
"62968",2506,"S1","",1,"","",""
"62848",1322,"RE34","",2,"","",""
"62817",815,"RB57","",2,"","",""
"56431",1322,"RE28","",2,"","",""
"56426",608,"RB83","",2,"","",""
"56425",608,"RB87","",2,"","",""
"55260",1322,"RE14","",2,"","",""
"55259",1322,"RE17","",2,"","",""
"55257",1322,"RE35","",2,"","",""
"55256",1322,"RE51","",2,"","",""
"55255",1322,"RE56","",2,"","",""
"55254",1322,"RE87","",2,"","",""
"54605",969,"RB69","",2,"","",""
"54578",969,"RE3","",2,"","",""
"54538",969,"RB59","",2,"","",""
"54537",969,"RB61","",2,"","",""
"54533",969,"RB66","",2,"","",""
"54529",969,"RB72","",2,"","",""
"54523",969,"RE78","",2,"","",""
"53731",2160,"DPN","",2,"","",""
"53706",969,"RB50","",3,"","",""
"53443",1322,"12","",2,"","",""
"53437",1322,"IC","",2,"","",""
"53099",1655,"MEX","",2,"","",""
"52337",1201,"RE8","",2,"","",""
"51856",1456,"R140","",2,"","",""
"50197",1249,"RB56","",2,"","",""
"47758",1689,"RB86","",2,"","",""
"47722",1201,"RE6","",2,"","",""
"47716",815,"RB36","",2,"","",""
"47710",815,"RB35","",2,"","",""
"43868",608,"RB6","",2,"","",""
"43867",608,"RB5","",2,"","",""
"43243",1689,"RB82","",2,"","",""
